,institute,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Business College,Coffee Shop,Restaurant,Diner,Ramen Restaurant,Bubble Tea Shop,American Restaurant,Breakfast Spot,Mexican Restaurant,Pizza Place,Fast Food Restaurant
1,Canadian Forces College,Coffee Shop,Wings Joint,Donut Shop,College Cafeteria,Comfort Food Restaurant,Convenience Store,Deli / Bodega,Dessert Shop,Dim Sum Restaurant,Diner
2,Canadian Memorial Chiropractic College,Korean Restaurant,Diner,Ice Cream Shop,Coffee Shop,Sandwich Place,Pizza Place,Food Court,Fast Food Restaurant,Falafel Restaurant,Dumpling Restaurant
3,Centennial College,Coffee Shop,Fast Food Restaurant,Café,Restaurant,Japanese Restaurant,Bistro,Hot Dog Joint,Food Court,Dessert Shop,College Cafeteria
4,College and Seminary,Coffee Shop,Chinese Restaurant,Sandwich Place,Pizza Place,Korean Restaurant,Food Court,Deli / Bodega,Fried Chicken Joint,French Restaurant,College Cafeteria
5,Ewart College,Portuguese Restaurant,Chinese Restaurant,Caribbean Restaurant,Pizza Place,Fast Food Restaurant,Fried Chicken Joint,Bakery,Sandwich Place,Café,Latin American Restaurant
6,George Brown College,Food Truck,Coffee Shop,Restaurant,Pizza Place,Grocery Store,Bar,Café,Snack Place,Caribbean Restaurant,Sushi Restaurant
7,Glendon College,Pizza Place,Coffee Shop,Café,Fast Food Restaurant,Sushi Restaurant,Diner,College Cafeteria,Comfort Food Restaurant,Convenience Store,Deli / Bodega
8,Humber College,Sandwich Place,Café,Fast Food Restaurant,Restaurant,Coffee Shop,Indian Restaurant,Chinese Restaurant,Pizza Place,Burger Joint,Ice Cream Shop
9,Islamic Institute of Toronto,African Restaurant,Caribbean Restaurant,Pizza Place,Vegetarian / Vegan Restaurant,Frozen Yogurt Shop,Dim Sum Restaurant,Coffee Shop,College Cafeteria,Comfort Food Restaurant,Convenience Store
10,Keele Campus (York University),Coffee Shop,Café,Restaurant,Snack Place,Pizza Place,Fried Chicken Joint,Cafeteria,Indian Restaurant,Salad Place,Asian Restaurant
11,OCAD University,Coffee Shop,American Restaurant,Pizza Place,Bar,Fast Food Restaurant,Restaurant,Thai Restaurant,Mexican Restaurant,Italian Restaurant,Mediterranean Restaurant
12,Oxford College,Restaurant,Coffee Shop,American Restaurant,Fast Food Restaurant,Food Court,Tea Room,Dessert Shop,Greek Restaurant,Italian Restaurant,Caribbean Restaurant
13,Ryerson University,Coffee Shop,Diner,Restaurant,Ramen Restaurant,Burger Joint,Gastropub,Café,Fast Food Restaurant,Sushi Restaurant,Breakfast Spot
14,Seneca College,Vietnamese Restaurant,Fast Food Restaurant,Caribbean Restaurant,Coffee Shop,Pizza Place,Wings Joint,Sandwich Place,Bakery,Breakfast Spot,Café
15,The Glenn Gould School,Pizza Place,Wings Joint,Diner,Coffee Shop,College Cafeteria,Comfort Food Restaurant,Convenience Store,Deli / Bodega,Dessert Shop,Dim Sum Restaurant
16,The Michener Institute,Coffee Shop,Bubble Tea Shop,Chinese Restaurant,Ramen Restaurant,Dumpling Restaurant,Café,Japanese Restaurant,Bar,Donut Shop,Gastropub
17,Tyndale University College and Seminary,Coffee Shop,Chinese Restaurant,Sandwich Place,Pizza Place,Korean Restaurant,Food Court,Deli / Bodega,Fried Chicken Joint,French Restaurant,College Cafeteria
18,University of Guelph-Humber,Café,Restaurant,Coffee Shop,Burger Joint,Fast Food Restaurant,Pizza Place,South American Restaurant,Japanese Restaurant,Sandwich Place,Deli / Bodega
19,University of Toronto,Coffee Shop,Café,Restaurant,Sandwich Place,Italian Restaurant,Bakery,American Restaurant,Sushi Restaurant,Japanese Restaurant,Fast Food Restaurant
20,York University,Coffee Shop,Café,Restaurant,Snack Place,Pizza Place,Fried Chicken Joint,Cafeteria,Indian Restaurant,Salad Place,Asian Restaurant
