,Postalcode,Borough,Neighbourhood
0,M4T,Central Toronto,Moore Park
1,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union"
2,M1B,Scarborough,"Rouge, Malvern"
3,M1E,Scarborough,"Morningside, West Hill"
4,M4N,Central Toronto,Lawrence Park
5,M1G,Scarborough,Woburn
6,M1H,Scarborough,Cedarbrae
7,M1K,Scarborough,"Ionview, Kennedy Park"
8,M1J,Scarborough,Scarborough Village
9,M1M,Scarborough,"Cliffcrest, Cliffside"
10,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge"
11,M9W,Etobicoke,Northwest
12,M1N,Scarborough,Birch Cliff
13,M2M,North York,"Newtonbrook, Willowdale"
14,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights"
15,M1S,Scarborough,Agincourt
16,M1R,Scarborough,"Maryvale, Wexford"
17,M9M,North York,"Emery, Humberlea"
18,M9L,North York,Humber Summit
19,M1W,Scarborough,Steeles West
20,M9N,York,Weston
21,M9A,Etobicoke,Islington Avenue
22,M1X,Scarborough,Upper Rouge
23,M9C,Etobicoke,Markland Wood
24,M9B,Etobicoke,"Islington, Princess Gardens, West Deane Park"
25,M6P,West Toronto,High Park
26,M2L,North York,"Silver Hills, York Mills"
27,M6R,West Toronto,"Parkdale, Roncesvalles"
28,M6S,West Toronto,"Runnymede, Swansea"
29,M4K,East Toronto,Riverdale
30,M9P,Etobicoke,Westmount
31,M4H,East York,Thorncliffe Park
32,M2R,North York,Willowdale West
33,M4J,East York,East Toronto
34,M6A,North York,"Lawrence Heights, Lawrence Manor"
35,M6B,North York,Glencairn
36,M2H,North York,Hillcrest Village
37,M2J,North York,Henry Farm
38,M2K,North York,Bayview Village
39,M4B,East York,"Woodbine Gardens, Parkview Hill"
40,M4C,East York,Woodbine Heights
41,M6J,West Toronto,"Little Portugal, Trinity"
42,M4A,North York,Victoria Village
43,M6L,North York,Maple Leaf Park
44,M4G,East York,Leaside
45,M4E,East Toronto,The Beaches
46,M4Y,Downtown Toronto,Church and Wellesley
47,M9R,Etobicoke,Kingsview Village
48,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor"
49,M4L,East Toronto,India Bazaar
50,M8X,Etobicoke,The Kingsway
51,M8Y,Etobicoke,"Humber Bay, King's Mill Park, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea"
52,M8V,Etobicoke,New Toronto
53,M8W,Etobicoke,"Alderwood, Long Branch"
54,M3H,North York,"Bathurst Manor, Wilson Heights"
55,M4X,Downtown Toronto,"Cabbagetown, St. James Town"
56,M4V,Central Toronto,"Deer Park, Rathnelly, South Hill"
57,M6H,West Toronto,Dovercourt Village
58,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, South Niagara"
59,M1T,Scarborough,Tam O'Shanter
60,M3K,North York,CFB Toronto
61,M9V,Etobicoke,"Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown"
62,M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre"
63,M5X,Downtown Toronto,"First Canadian Place, Underground city"
64,M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market"
65,M6K,West Toronto,"Exhibition Place, Parkdale Village"
66,M5P,Central Toronto,Forest Hill North
67,M5S,Downtown Toronto,University of Toronto
68,M5R,Central Toronto,"The Annex, Yorkville"
69,M4W,Downtown Toronto,Rosedale
70,M1V,Scarborough,"Agincourt North, Milliken"
71,M6M,York,"Keelsdale, Mount Dennis, Silverthorn"
72,M5E,Downtown Toronto,Berczy Park
73,M3L,North York,Downsview West
74,M5A,Downtown Toronto,"Harbourfront, Regent Park"
75,M3J,North York,"Northwood Park, York University"
76,M5C,Downtown Toronto,St. James Town
77,M5B,Downtown Toronto,Ryerson
78,M5M,North York,Bedford Park
79,M5L,Downtown Toronto,Commerce Court
80,M3C,North York,Flemingdon Park
81,M5H,Downtown Toronto,"Adelaide, King"
82,M3A,North York,Parkwoods
83,M5J,Downtown Toronto,"Toronto Islands, Union Station"
